Date,CA,FL,NC,NY,PA,TX
8/11/20_y,175.0,276.0,32.0,11.0,35.0,218.0
8/12/20_y,161.0,212.0,0.0,6.0,33.0,319.0
8/13/20_y,187.0,148.0,83.0,19.0,24.0,255.0
8/14/20_y,150.0,227.0,26.0,14.0,36.0,310.0
8/15/20_y,74.0,205.0,30.0,3.0,20.0,237.0
8/16/20_y,16.0,106.0,4.0,10.0,3.0,143.0
8/17/20_y,105.0,87.0,2.0,11.0,0.0,51.0
8/18/20_y,180.0,220.0,48.0,7.0,31.0,230.0
8/19/20_y,164.0,173.0,35.0,10.0,24.0,307.0
8/20/20_y,132.0,115.0,34.0,7.0,15.0,234.0
8/21/20_y,162.0,122.0,29.0,11.0,20.0,258.0
8/22/20_y,146.0,106.0,26.0,10.0,18.0,214.0
8/23/20_y,36.0,51.0,10.0,14.0,2.0,104.0
8/24/20_y,105.0,72.0,4.0,8.0,1.0,25.0
8/25/20_y,149.0,183.0,33.0,6.0,25.0,181.0
8/26/20_y,143.0,153.0,37.0,2.0,19.0,229.0
8/27/20_y,140.0,134.0,24.0,11.0,12.0,264.0
8/28/20_y,111.0,90.0,24.0,8.0,18.0,196.0
8/29/20_y,105.0,147.0,31.0,8.0,18.0,154.0
8/30/20_y,32.0,15.0,9.0,11.0,2.0,90.0
8/31/20_y,83.0,68.0,10.0,7.0,0.0,26.0
9/1/20_y,145.0,187.0,39.0,7.0,18.0,143.0
9/2/20_y,158.0,126.0,38.0,8.0,21.0,189.0
9/3/20_y,165.0,149.0,24.0,12.0,20.0,221.0
9/4/20_y,155.0,100.0,0.0,4.0,10.0,140.0
9/5/20_y,65.0,60.0,85.0,5.0,18.0,177.0
9/6/20_y,21.0,38.0,1.0,6.0,0.0,64.0
9/7/20_y,33.0,21.0,7.0,11.0,19.0,19.0
9/8/20_y,51.0,46.0,13.0,8.0,11.0,61.0
9/9/20_y,178.0,199.0,48.0,3.0,15.0,140.0
9/10/20_y,59.0,212.0,33.0,9.0,15.0,161.0
9/11/20_y,212.0,174.0,33.0,5.0,17.0,144.0
9/12/20_y,71.0,95.0,24.0,9.0,0.0,147.0
9/13/20_y,52.0,10.0,5.0,4.0,0.0,47.0
9/14/20_y,82.0,36.0,8.0,6.0,32.0,21.0
9/15/20_y,148.0,145.0,51.0,0.0,6.0,131.0
9/16/20_y,94.0,152.0,36.0,20.0,28.0,135.0
9/17/20_y,103.0,147.0,31.0,6.0,10.0,111.0
9/18/20_y,100.0,138.0,29.0,9.0,21.0,123.0
9/19/20_y,75.0,61.0,26.0,11.0,22.0,136.0
9/20/20_y,31.0,11.0,9.0,6.0,24.0,46.0
9/21/20_y,47.0,20.0,4.0,2.0,24.0,24.0
9/22/20_y,131.0,100.0,40.0,2.0,18.0,77.0
9/23/20_y,110.0,202.0,30.0,2.0,39.0,135.0
9/24/20_y,85.0,176.0,40.0,6.0,16.0,139.0
9/25/20_y,136.0,120.0,53.0,11.0,2.0,96.0
9/26/20_y,52.0,108.0,31.0,4.0,22.0,120.0
9/27/20_y,17.0,10.0,1.0,8.0,3.0,39.0
9/28/20_y,59.0,5.0,4.0,15.0,1.0,11.0
9/29/20_y,151.0,106.0,49.0,6.0,16.0,70.0
9/30/20_y,94.0,169.0,38.0,8.0,19.0,107.0
10/1/20_y,100.0,122.0,47.0,14.0,18.0,113.0
10/2/20_y,97.0,109.0,29.0,18.0,19.0,72.0
10/3/20_y,44.0,81.0,21.0,9.0,22.0,97.0
10/4/20_y,25.0,36.0,5.0,16.0,17.0,33.0
10/5/20_y,34.0,0.0,0.0,10.0,0.0,0.0
10/6/20_y,79.0,109.0,36.0,9.0,28.0,86.0
10/7/20_y,88.0,136.0,23.0,20.0,28.0,119.0
10/8/20_y,74.0,164.0,28.0,12.0,0.0,104.0
10/9/20_y,74.0,116.0,26.0,7.0,0.0,98.0
10/10/20_y,64.0,0.0,18.0,9.0,0.0,94.0
10/11/20_y,8.0,177.0,5.0,6.0,96.0,31.0
10/12/20_y,25.0,48.0,3.0,14.0,0.0,1.0
10/13/20_y,66.0,121.0,41.0,11.0,0.0,64.0
10/14/20_y,94.0,65.0,40.0,8.0,42.0,95.0
10/15/20_y,79.0,140.0,20.0,19.0,21.0,94.0
10/16/20_y,70.0,93.0,32.0,13.0,26.0,91.0
10/17/20_y,34.0,90.0,17.0,12.0,9.0,81.0
10/18/20_y,36.0,49.0,11.0,15.0,0.0,30.0
10/19/20_y,22.0,53.0,5.0,17.0,34.0,8.0
10/20/20_y,37.0,86.0,53.0,10.0,33.0,65.0
10/21/20_y,165.0,105.0,0.0,5.0,29.0,114.0
